filename,store_name,store_address,store_code,taxpayer_name,voen,receipt_number,cashier_name,date,time,item_name,quantity,unit_price,line_total,subtotal,vat_18_percent,total_tax,nagdsiz,nagd,bonus,avans,nisye,queue_number,nka_model,nka_serial,fiscal_id,nmq_registration,refund_amount,refund_date,refund_time
AnTanThEYv5k.jpeg,ARAZ,А21129 BAKI ŞƏHƏRİ,1001994141-20022,ARAZ,1001994141,,,,,DARDANEL FASULYELI T,1000.0,5.55,5.55,36.28,,5.53,36.28,0.00,0.00,0.00,0.00,617,NBA FiscalBox,900119100843,AnTanThEYV5k,0000007875,0.97,05.05.2023,07:02
AnTanThEYv5k.jpeg,ARAZ,А21129 BAKI ŞƏHƏRİ,1001994141-20022,ARAZ,1001994141,,,,,DARDANEL MİSİRLİ TON,1000.0,5.55,5.55,36.28,,5.53,36.28,0.00,0.00,0.00,0.00,617,NBA FiscalBox,900119100843,AnTanThEYV5k,0000007875,0.97,05.05.2023,07:02
AnTanThEYv5k.jpeg,ARAZ,А21129 BAKI ŞƏHƏRİ,1001994141-20022,ARAZ,1001994141,,,,,GREEN RAY YASHIL NOX,1000.0,2.25,2.25,36.28,,5.53,36.28,0.00,0.00,0.00,0.00,617,NBA FiscalBox,900119100843,AnTanThEYV5k,0000007875,0.97,05.05.2023,07:02
AnTanThEYv5k.jpeg,ARAZ,А21129 BAKI ŞƏHƏRİ,1001994141-20022,ARAZ,1001994141,,,,,ORBİT SAQQIZ VVİNTERF,1000.0,0.7,0.7,36.28,,5.53,36.28,0.00,0.00,0.00,0.00,617,NBA FiscalBox,900119100843,AnTanThEYV5k,0000007875,0.97,05.05.2023,07:02
AnTanThEYv5k.jpeg,ARAZ,А21129 BAKI ŞƏHƏRİ,1001994141-20022,ARAZ,1001994141,,,,,Paket Araz 31*60 5KG,1000.0,0.05,0.05,36.28,,5.53,36.28,0.00,0.00,0.00,0.00,617,NBA FiscalBox,900119100843,AnTanThEYV5k,0000007875,0.97,05.05.2023,07:02
2Lg8g12Erwk5.jpeg,GRAND-MART,,1401395111-20002,GRAND-MART,1401395111,2206,Shabizade Elmin,15.01.2024,18:50:38,,,,,7.05,,0.92,7.05,0.00,0.00,0.00,0.00,16,NCR RealPOS XR7 (7703) KLR M-POS 1.05.90,0000023239,2Lg8g12Eruik5,0000162588,0.16,15.02.2024,00:46
7HhCKAhswVgT.jpeg,ARAZ,,1001994141-20019,ARAZ,1001994141,,Agos Bagirov,26.03.2023,00:38:28,ВГАМ TARLA NAR SİRE,1000.0,279.0,279.0,4.34,,,0.00,0.00,0.00,0.00,0.00,23,NBA FiscalBox,900120010612,7HhCKAhsu/VgT,0000022720,0.12,25.04.2023,09:32
7HhCKAhswVgT.jpeg,ARAZ,,1001994141-20019,ARAZ,1001994141,,Agos Bagirov,26.03.2023,00:38:28,İVANOVKA DOVGA 4506,1000.0,155.0,155.0,4.34,,,0.00,0.00,0.00,0.00,0.00,23,NBA FiscalBox,900120010612,7HhCKAhsu/VgT,0000022720,0.12,25.04.2023,09:32
ziH2EQKd9MN9.jpeg,ANC GROUP,,1701102351-14010,ANC GROUP,1701102351,,,,,FR.SAD MANDARIN MiX İİT,1.0,2.35,2.35,2.35,,0.36,2.35,0.00,0.00,0.00,0.00,216,IPOS AZ1001,ESOF000212,zi42EQKd9MN9,0000071136,0.06,20.06.2023,10:30
8xxqCCnAATyo.jpeg,SAHİL TRADİNG,,,SAHİL TRADİNG,0800005671,,,,,,,,,4.38,,0.66,4.38,0.00,0.00,0.00,0.00,516,NBA FiscalBox,9001909006,8xxqCCnAAlyo,0000000606,0.12,07.07.2023,10:17
EEtAKEvE53u7.jpeg,ARAZ,,1001994141-20022,ARAZ,1001994141,,,,,DARDANEL FASULYELI T,1000.0,5.69,5.69,7.87,,,7.87,0.00,0.00,0.00,0.00,732,NBA FiscalBox,900119100843,EEtAKEVE53u7,0000007875,0.19,16.06.2023,08:13
EEtAKEvE53u7.jpeg,ARAZ,,1001994141-20022,ARAZ,1001994141,,,,,QLOBUS PLOMBİR KOFE,1.0,0.65,165.0,7.87,,,7.87,0.00,0.00,0.00,0.00,732,NBA FiscalBox,900119100843,EEtAKEVE53u7,0000007875,0.19,16.06.2023,08:13
EEtAKEvE53u7.jpeg,ARAZ,,1001994141-20022,ARAZ,1001994141,,,,,BAKILI QIZ DON.QEHVE,1.0,0.69,0.69,7.87,,,7.87,0.00,0.00,0.00,0.00,732,NBA FiscalBox,900119100843,EEtAKEVE53u7,0000007875,0.19,16.06.2023,08:13
EEtAKEvE53u7.jpeg,ARAZ,,1001994141-20022,ARAZ,1001994141,,,,,TENDİR COREYİ EDED,1000.0,0.79,0.79,7.87,,,7.87,0.00,0.00,0.00,0.00,732,NBA FiscalBox,900119100843,EEtAKEVE53u7,0000007875,0.19,16.06.2023,08:13
EEtAKEvE53u7.jpeg,ARAZ,,1001994141-20022,ARAZ,1001994141,,,,,ƏDV-dən azad Paket Araz 31*60 5KG,11000.0,0.05,0.05,7.87,,,7.87,0.00,0.00,0.00,0.00,732,NBA FiscalBox,900119100843,EEtAKEVE53u7,0000007875,0.19,16.06.2023,08:13
FrRqVhRvw6BC.jpeg,ARAZ,,1001994141-20022,ARAZ,1001994141,,Agos Bagirov,20.05.2023,23:28:49,,,,,,,1.09,0.00,0.00,0.00,0.00,0.00,324,NBA FiscalBox,900119100843,"F""RqVhRvu6BC",0000007875,0.19,19.06.2023,07:23
AsrYY9yk2auW.jpeg,PROMART Məhdud,,,PROMART Məhdud,1702278621,219941,Mammadov Rasad,16.05.2023,14:03:00,,,,,,,0.45,8.48,0.00,0.00,0.00,0.00,667,İBM POS 700,41AVVK12,AsrYY9yk2auVV,0000030116,0.07,15.06.2023,11:23
F6T6zN3CyJWZ.jpeg,“LEKAT MƏHDUD,,1701061241-20002,“LEKAT MƏHDUD,1701061241,18402,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,48,PAX A930 Smart Kassa V 0.0.1,P1171202085,FeTözN3CYIMVZ,0000132888,,,
ANM2jehF8mJ7.jpeg,İNCİ GROUP OF,,1700311911-14007,İNCİ GROUP OF,1700311911,,SuperApi,03.07.2023,14:38:51,Qələm Mi-UB-157-BE 0.7mm,1.0,2.9,2.9,2.90,,0.44,2.90,0.00,0.00,0.00,0.00,49,TPS575 Smart POS,В150575100300314,ANM2)ehF8m)7,0000054433,0.08,02.08.2023,10:37
Co75sE7DgJM7.jpeg,ALSHAYA,,1701513331-14002,ALSHAYA,1701513331,40821,MEHMEDZADE,23.01.2024,13:13:29,Tatfe Tall (ədədi,1.0,7.0,7.0,9.50,,1.45,9.50,0.00,0.00,0.00,0.00,32,Micros Vlork Station 6,1334ВАА13008797,Co75sE7Dg)M7,0000093453,0.25,23.02.2024,05:56
